Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Months Code,Months,Unit,Value,Flag,Flag Description
"PP","Producer Prices","484","Mexico","5530","Producer Price (LCU/tonne)","01213","Cauliflowers and broccoli","2020","2020","7021","Annual value","LCU","6346.2","A","Official figure"
"PP","Producer Prices","484","Mexico","5530","Producer Price (LCU/tonne)","01213","Cauliflowers and broccoli","2021","2021","7021","Annual value","LCU","6479.1","A","Official figure"
"PP","Producer Prices","484","Mexico","5530","Producer Price (LCU/tonne)","01213","Cauliflowers and broccoli","2022","2022","7021","Annual value","LCU","6833.9","A","Official figure"
"PP","Producer Prices","484","Mexico","5530","Producer Price (LCU/tonne)","01213","Cauliflowers and broccoli","2023","2023","7021","Annual value","LCU","7063.1","A","Official figure"
"PP","Producer Prices","484","Mexico","5530","Producer Price (LCU/tonne)","01344.02","Cherries","2020","2020","7021","Annual value","LCU","71345.1","A","Official figure"
"PP","Producer Prices","484","Mexico","5530","Producer Price (LCU/tonne)","01344.02","Cherries","2021","2021","7021","Annual value","LCU","72685","A","Official figure"
"PP","Producer Prices","484","Mexico","5530","Producer Price (LCU/tonne)","01344.02","Cherries","2022","2022","7021","Annual value","LCU","93564.1","A","Official figure"
"PP","Producer Prices","484","Mexico","5530","Producer Price (LCU/tonne)","01344.02","Cherries","2023","2023","7021","Annual value","LCU","63499.9","A","Official figure"
"PP","Producer Prices","484","Mexico","5530","Producer Price (LCU/tonne)","01373","Chestnuts, in shell","2021","2021","7021","Annual value","LCU","31844.9","A","Official figure"
"PP","Producer Prices","484","Mexico","5530","Producer Price (LCU/tonne)","01373","Chestnuts, in shell","2022","2022","7021","Annual value","LCU","33061.2","A","Official figure"
"PP","Producer Prices","484","Mexico","5530","Producer Price (LCU/tonne)","01373","Chestnuts, in shell","2023","2023","7021","Annual value","LCU","40351.6","A","Official figure"
"PP","Producer Prices","484","Mexico","5530","Producer Price (LCU/tonne)","01703","Chick peas, dry","2020","2020","7021","Annual value","LCU","14956","A","Official figure"
"PP","Producer Prices","484","Mexico","5530","Producer Price (LCU/tonne)","01703","Chick peas, dry","2021","2021","7021","Annual value","LCU","15035.8","A","Official figure"
"PP","Producer Prices","484","Mexico","5530","Producer Price (LCU/tonne)","01703","Chick peas, dry","2022","2022","7021","Annual value","LCU","17702.1","A","Official figure"
"PP","Producer Prices","484","Mexico","5530","Producer Price (LCU/tonne)","01703","Chick peas, dry","2023","2023","7021","Annual value","LCU","19111.3","A","Official figure"
